cluster,cluster_size,centroid_query,cluster_total_runtime,cluster_total_runcount,cluster_all_users
12,27,"| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime FROM datamodel=Endpoint.Filesystem where Filesystem.file_path IN (""*\\system32\\*"",""*\\syswow64\\*"") Filesystem.file_name=""*.bat"" by Filesystem.action Filesystem.dest Filesystem.file_access_time Filesystem.file_create_time Filesystem.file_hash Filesystem.file_modify_time Filesystem.file_name Filesystem.file_path Filesystem.file_acl Filesystem.file_size Filesystem.process_guid Filesystem.process_id Filesystem.user Filesystem.vendor_product | `drop_dm_object_name(Filesystem)` | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `batch_file_write_to_system32_filter`",27.0,27,
13,6,"`cloudtrail` | iplocation sourceIPAddress | search Region=$Region$ | spath output=user path=userIdentity.arn | spath output=awsUserName path=userIdentity.userName | spath output=userType path=userIdentity.type | rename sourceIPAddress as src_ip | table _time, Region, user, userName, userType, src_ip, awsRegion, eventName, errorCode",6.0,6,
14,7,"`crowdstrike_identities` primaryDisplayName = ""*admin*"" | rename riskFactors{}.severity as severity, riskFactors{}.type as risk_type, roles{}.type as role_type, accounts{}.domain as domain, accounts{}.dn as dn, accounts{}.samAccountName as user | stats count min(_time) as firstTime max(_time) as lastTime by  domain dn primaryDisplayName risk_type severity riskScore riskScoreSeverity user role_type | where risk_type = ""DUPLICATE_PASSWORD"" | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `crowdstrike_admin_with_duplicate_password_filter`",7.0,7,
15,8,"`cisco_isovalent_process_exec` process_name IN (""crond"",""cron"",""crontab"")\n| search pod_name!=""""\n| stats count \n        min(_time) as firstTime \n        max(_time) as lastTime \n        values(process) as process\n    by cluster_name pod_name parent_process_name process_name process_exec process_id node_name\n| `security_content_ctime(firstTime)`\n| `security_content_ctime(lastTime)`\n| `cisco_isovalent___cron_job_creation_filter`",8.0,8,
16,30,"| tstats `security_content_summariesonly` count  min(_time) as firstTime max(_time) as lastTime FROM datamodel=Endpoint.Registry where Registry.registry_path IN (""*\\Environment\\UserInitMprLogonScript"") by Registry.action Registry.dest Registry.process_guid Registry.process_id Registry.registry_hive Registry.registry_path Registry.registry_key_name Registry.registry_value_data Registry.registry_value_name Registry.registry_value_type Registry.status Registry.user Registry.vendor_product | `security_content_ctime(lastTime)` | `security_content_ctime(firstTime)` | `drop_dm_object_name(Registry)` | `logon_script_event_trigger_execution_filter`",30.0,30,
17,10,"| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime FROM datamodel=Endpoint.Registry where Registry.registry_path= ""*\\SOFTWARE\\Microsoft\\Windows\\CurrentVersion\\PushNotifications\\ToastEnabled*"" Registry.registry_value_data=""0x00000000"" by Registry.action Registry.dest Registry.process_guid Registry.process_id Registry.registry_hive Registry.registry_path Registry.registry_key_name Registry.registry_value_data Registry.registry_value_name Registry.registry_value_type Registry.status Registry.user Registry.vendor_product | `drop_dm_object_name(Registry)` | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `windows_modify_registry_disable_toast_notifications_filter`",10.0,10,
18,21,"| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime FROM datamodel=Endpoint.Registry where Registry.registry_path= ""*\\Windows Defender\\Reporting\\DisableGenericRePorts"" Registry.registry_value_data=""0x00000001"" by Registry.action Registry.dest Registry.process_guid Registry.process_id Registry.registry_hive Registry.registry_path Registry.registry_key_name Registry.registry_value_data Registry.registry_value_name Registry.registry_value_type Registry.status Registry.user Registry.vendor_product | `drop_dm_object_name(Registry)` | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `windows_impair_defense_disable_win_defender_gen_reports_filter`",21.0,21,
19,15,"| tstats `security_content_summariesonly` count FROM datamodel=Endpoint.Processes where Processes.process_name=outlook.exe by _time span=1h Processes.action Processes.dest Processes.original_file_name Processes.parent_process Processes.parent_process_exec Processes.parent_process_guid Processes.parent_process_id Processes.parent_process_name Processes.parent_process_path Processes.process Processes.process_exec Processes.process_guid Processes.process_hash Processes.process_id Processes.process_integrity_level Processes.process_name Processes.process_path Processes.user Processes.user_id Processes.vendor_product | `drop_dm_object_name(Processes)` | join process_guid, _time [ | tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime FROM datamodel=Endpoint.Filesystem where Filesystem.file_name =""*.dll"" Filesystem.file_path = ""*\\AppData\\Local\\Microsoft\\FORMS\\IPM*"" by _time span=1h Filesystem.dest Filesystem.file_create_time Filesystem.file_name Filesystem.file_path Filesystem.process_guid | `drop_dm_object_name(Filesystem)` | fields file_name file_path process_name process_path process dest file_create_time _time process_guid] | `windows_phishing_outlook_drop_dll_in_form_dir_filter`",15.0,15,
20,10,"| tstats `security_content_summariesonly` count dc(registry_value_name) as registry_value_name_count FROM datamodel=Endpoint.Registry where Registry.registry_path=""*\\SOFTWARE\\Microsoft\\*"" AND Registry.registry_value_data = ""Binary Data"" by _time span=1m Registry.action Registry.dest Registry.process_guid Registry.process_id Registry.registry_hive Registry.registry_path Registry.registry_key_name Registry.registry_value_data Registry.registry_value_name Registry.registry_value_type Registry.status Registry.user Registry.vendor_product | `drop_dm_object_name(Registry)` | eval registry_key_name_len = len(registry_key_name) | eval registry_value_name_len = len(registry_value_name) | regex registry_value_name=""^[0-9a-fA-F]{8}"" | where registry_key_name_len < 80 AND registry_value_name_len == 8 | join process_guid, _time [| tstats `security_content_summariesonly` count FROM datamodel=Endpoint.Processes where Processes.process_name IN (""explorer.exe"", ""wermgr.exe"",""dxdiag.exe"", ""OneDriveSetup.exe"", ""mobsync.exe"", ""msra.exe"", ""xwizard.exe"") by _time span=1m Processes.action Processes.dest Processes.original_file_name Processes.parent_process Processes.parent_process_exec Processes.parent_process_guid Processes.parent_process_id Processes.parent_process_name Processes.parent_process_path Processes.process Processes.process_exec Processes.process_guid Processes.process_hash Processes.process_id Processes.process_integrity_level Processes.process_name Processes.process_path Processes.user Processes.user_id Processes.vendor_product | `drop_dm_object_name(Processes)` ] | stats min(_time) as firstTime max(_time) as lastTime values(registry_value_name) as registry_value_name dc(registry_value_name) as registry_value_name_count values(registry_key_name) by dest process_guid process_name parent_process_name | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | where registry_value_name_count >= 5 | `windows_modify_registry_qakbot_binary_data_registry_filter`",10.0,10,
21,18,"`azure_monitor_aad` category=SignInLogs properties.status.errorCode=50126 properties.authenticationDetails{}.succeeded=false | rename properties.* as * | bucket span=5m _time | stats dc(userPrincipalName) AS unique_accounts values(userPrincipalName) as userPrincipalName values(dest) as dest  values(user) as user by _time, src, vendor_account, vendor_product | eventstats avg(unique_accounts) as ip_avg, stdev(unique_accounts) as ip_std by src | eval upperBound=(ip_avg+ip_std*3) | eval isOutlier=if(unique_accounts > 10 and unique_accounts >= upperBound, 1,0) | where isOutlier = 1 | `azure_ad_unusual_number_of_failed_authentications_from_ip_filter`",18.0,18,
22,9,"| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Registry where Registry.registry_path=""*\\SOFTWARE\\Policies\\Microsoft\\Windows\\WindowsUpdate\\AU\\UseWUServer"" AND Registry.registry_value_data=""0x00000001"" by Registry.action Registry.dest Registry.process_guid Registry.process_id Registry.registry_hive Registry.registry_path Registry.registry_key_name Registry.registry_value_data Registry.registry_value_name Registry.registry_value_type Registry.status Registry.user Registry.vendor_product | `drop_dm_object_name(Registry)` | `security_content_ctime(lastTime)` | `security_content_ctime(firstTime)` | `windows_modify_registry_usewuserver_filter`",9.0,9,
23,16,"| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Registry where Registry.registry_value_name=""DisableAntiSpyware"" AND Registry.registry_value_data=""0x00000001"" by Registry.action Registry.dest Registry.process_guid Registry.process_id Registry.registry_hive Registry.registry_path Registry.registry_key_name Registry.registry_value_data Registry.registry_value_name Registry.registry_value_type Registry.status Registry.user Registry.vendor_product | `drop_dm_object_name(Registry)` | `security_content_ctime(lastTime)` | `security_content_ctime(firstTime)` | `windows_disableantispyware_registry_filter`",16.0,16,
24,25,"`m365_exported_ediscovery_prompt_logs`\n| search Subject_Title IN (\n                            ""*act as*"",\n                            ""*bypass*"",\n                            ""*ignore*"",\n                            ""*override*"",\n                            ""*pretend you are*"",\n                            ""*rules=*""\n                          )\n| eval user = Sender\n| eval jailbreak_score=case(\n                            match(Subject_Title, ""(?i)pretend you are.*amoral""), 4,\n                            match(Subject_Title, ""(?i)act as.*entities""), 3,\n                            match(Subject_Title, ""(?i)(ignore|bypass|override)""), 3,\n                            match(Subject_Title, ""(?i)rules\s*=""), 4, 1=1, 1\n)\n| where jailbreak_score >= 2\n| table _time, user, Subject_Title, jailbreak_score, Workload, Size\n| sort -jailbreak_score, -_time\n| `m365_copilot_jailbreak_attempts_filter`",25.0,25,
25,14,"`cisco_network_visibility_module_flowdata`\nprocess_name IN (\n  ""backgroundtaskhost.exe"", ""svchost.exe"", ""dllhost.exe"", ""werfault.exe"",\n  ""searchprotocolhost.exe"", ""wuauclt.exe"", ""spoolsv.exe"", ""rundll32.exe"",\n  ""regasm.exe"", ""regsvr32.exe"", ""regsvcs.exe""\n)\nNOT process_arguments=""*""\nNOT dest IN (\n        ""10.0.0.0/8"", ""172.16.0.0/12"", ""192.168.0.0/16"", ""100.64.0.0/10"",\n        ""127.0.0.0/8"", ""169.254.0.0/16"", ""192.0.0.0/24"", ""192.0.0.0/29"", ""192.0.0.8/32"",\n        ""192.0.0.9/32"", ""192.0.0.10/32"", ""192.0.0.170/32"", ""192.0.0.171/32"", ""192.0.2.0/24"",\n        ""192.31.196.0/24"", ""192.52.193.0/24"", ""192.88.99.0/24"", ""224.0.0.0/4"", ""192.175.48.0/24"",\n        ""198.18.0.0/15"", ""198.51.100.0/24"", ""203.0.113.0/24"", ""240.0.0.0/4"", ""::1""\n        )\n| stats count min(_time) as firstTime max(_time) as lastTime\n        values(parent_process_arguments) as parent_process_arguments\n        values(process_arguments) as process_arguments\n        values(parent_process_hash) as parent_process_hash\n        values(process_hash) as process_hash\n        values(module_name_list) as module_name_list\n        values(module_hash_list) as module_hash_list\n        values(dest_port) as dest_port\n        values(aliul) as additional_logged_in_users_list\n        values(dest_hostname) as dest_hostname\n        by src dest parent_process_path parent_process_integrity_level process_path process_name process_integrity_level process_id transport\n| `security_content_ctime(firstTime)`\n| `security_content_ctime(lastTime)`\n| table\n  parent_process_integrity_level parent_process_path parent_process_arguments parent_process_hash\n  process_integrity_level process_path process_name process_arguments process_hash process_id\n  additional_logged_in_users_list module_name_list module_hash_list\n  src dest_hostname dest dest_port transport firstTime lastTime\n| `cisco_nvm___suspicious_network_connection_from_process_with_no_args_filter`",14.0,14,
26,18,"| tstats count `security_content_summariesonly` earliest(_time) as first_login latest(_time) as last_login dc(Authentication.dest) AS distinct_count_dest values(Authentication.dest) AS Authentication.dest values(Authentication.app) AS Authentication.app  from datamodel=Authentication where Authentication.action=failure by Authentication.user | where distinct_count_dest > 1 | `security_content_ctime(first_login)` | `security_content_ctime(last_login)` | `drop_dm_object_name(""Authentication"")` | search user=$user$",18.0,18,
27,7,"`circleci` | rename workflows.job_id AS job_id | join job_id [ | search `circleci` | stats values(name) as step_names count by job_id job_name ] | stats count by step_names job_id job_name vcs.committer_name vcs.subject vcs.url owners{} | rename vcs.* as * , owners{} as user | lookup mandatory_step_for_job job_name OUTPUTNEW step_name AS mandatory_step | search mandatory_step=* | eval mandatory_step_executed=if(like(step_names, ""%"".mandatory_step.""%""), 1, 0) | where mandatory_step_executed=0 | rex field=url ""(?<repository>[^\/]*\/[^\/]*)$"" | eval phase=""build""  | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `circle_ci_disable_security_step_filter`",7.0,7,
28,7,"`powershell` EventCode=4104 AND ScriptBlockText IN (""*SELECT*"", ""*Get-WmiObject*"") AND ScriptBlockText IN (""*Win32_Bios*"", ""*Win32_OperatingSystem*"", ""*Win32_Processor*"", ""*Win32_ComputerSystem*"", ""*Win32_PnPEntity*"", ""*Win32_ShadowCopy*"", ""*Win32_DiskDrive*"", ""*Win32_PhysicalMemory*"", ""*Win32_BaseBoard*"", ""*Win32_DisplayConfiguration*"") | fillnull | stats count min(_time) as firstTime max(_time) as lastTime by dest signature signature_id user_id vendor_product EventID Guid Opcode Name Path ProcessID ScriptBlockId ScriptBlockText | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `recon_using_wmi_class_filter`",7.0,7,
29,7,"| tstats `security_content_summariesonly` \n  count min(_time) as firstTime \n  max(_time) as lastTime \nFROM datamodel=Endpoint.Filesystem where \n  Filesystem.file_name IN (""*.zip"", ""*.rar"", ""*.tar"", ""*.7z"") \n  Filesystem.file_path IN (""*\\AppData\\Local\\Temp\\*"", ""*\\Windows\\Temp\\*"")\nby Filesystem.action Filesystem.dest Filesystem.file_access_time \n   Filesystem.file_create_time Filesystem.file_hash Filesystem.file_modify_time \n   Filesystem.file_name Filesystem.file_path Filesystem.file_acl Filesystem.file_size \n   Filesystem.process_guid Filesystem.process_id Filesystem.user Filesystem.vendor_product \n| `drop_dm_object_name(Filesystem)` \n| `security_content_ctime(firstTime)`\n| `security_content_ctime(lastTime)` \n| `windows_archived_collected_data_in_temp_folder_filter`",7.0,7,
30,6,"| tstats `security_content_summariesonly` count values(Processes.process_path) as process_path min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.process = ""*     .*"" by Processes.dest Processes.user Processes.process Processes.process_name | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)` | `drop_dm_object_name(Processes)` | `execution_of_file_with_spaces_before_extension_filter`",6.0,6,
31,25,| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time) as lastTime from datamodel=Endpoint.Processes where Processes.process_name=PlistBuddy (Processes.process=*LaunchAgents* OR Processes.process=*RunAtLoad* OR Processes.process=*true*) by Processes.dest Processes.user Processes.parent_process Processes.process_name Processes.process Processes.process_id Processes.parent_process_id | `drop_dm_object_name(Processes)` | `security_content_ctime(firstTime)`| `security_content_ctime(lastTime)` |  `suspicious_plistbuddy_usage_filter`,25.0,25,
32,37,"| tstats `security_content_summariesonly` count min(_time) as firstTime max(_time)\nas lastTime FROM datamodel=Endpoint.Processes where\n(Processes.process_name=regsvcs.exe OR Processes.original_file_name=RegSvcs.exe)\nProcesses.process IN (""*regsvcs"",""*regsvcs.exe"", ""*regsvcs.exe\"""")\nby Processes.action Processes.dest Processes.original_file_name Processes.parent_process Processes.parent_process_exec\n   Processes.parent_process_guid Processes.parent_process_id Processes.parent_process_name\n   Processes.parent_process_path Processes.process Processes.process_exec Processes.process_guid\n   Processes.process_hash Processes.process_id Processes.process_integrity_level Processes.process_name\n   Processes.process_path Processes.user Processes.user_id Processes.vendor_product\n| `drop_dm_object_name(Processes)`\n| `security_content_ctime(firstTime)`\n| `security_content_ctime(lastTime)`\n| `detect_regsvcs_with_no_command_line_arguments_filter`",37.0,37,
33,20,"| tstats `security_content_summariesonly` \n  count min(_time) as firstTime \n  max(_time) as lastTime \nfrom datamodel=Endpoint.Processes where \n`process_rundll32` \nProcesses.process IN (""*syssetup*"", ""*advpack*"", ""*setupapi*"")\nProcesses.process IN (""*LaunchINFSection*"", ""*InstallHinfSection*"", ""*SetupInfObjectInstallAction*"")\nby Processes.action Processes.dest Processes.original_file_name Processes.parent_process\n   Processes.parent_process_exec Processes.parent_process_guid Processes.parent_process_id\n   Processes.parent_process_name Processes.parent_process_path Processes.process Processes.process_exec\n   Processes.process_guid Processes.process_hash Processes.process_id Processes.process_integrity_level\n   Processes.process_name Processes.process_path Processes.user Processes.user_id Processes.vendor_product\n| `drop_dm_object_name(Processes)` \n| `security_content_ctime(firstTime)` \n| `security_content_ctime(lastTime)`\n| `windows_application_whitelisting_bypass_attempt_via_rundll32_filter`",20.0,20,
34,9,"`sysmon` EventCode=7 ImageLoaded IN (""*\\AclNumsInvertHost.dll"", ""*\\ModeBitmapNumericAnimate.dll"", ""*\\UnregisterAncestorAppendAuto.dll"", ""*\\DeregisterSeekUsers.dll"", ""*\\ScrollbarHandleGet.dll"", ""*\\PerformanceCaptionApi.dll"", ""*\\WowIcmpRemoveReg.dll"", ""*\\BlendMonitorStringBuild.dll"", ""*\\HandleFrequencyAll.dll"", ""*\\HardSwapColor.dll"", ""*\\LengthInMemoryActivate.dll"", ""*\\ParametersNamesPopup.dll"", ""*\\ModeFolderSignMove.dll"", ""*\\ChildPaletteConnected.dll"", ""*\\AddressResourcesSpec.dll"") | fillnull | stats count min(_time) as firstTime max(_time) as lastTime by Image ImageLoaded dest loaded_file loaded_file_path original_file_name process_exec process_guid process_hash process_id process_name process_path service_dll_signature_exists service_dll_signature_verified signature signature_id user_id vendor_product | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `windows_known_graphicalproton_loaded_modules_filter`",9.0,9,
35,62,"`sysmon` EventCode=8 SourceImage = ""*\\wermgr.exe"" TargetImage IN (""*\\firefox.exe"", ""*\\chrome.exe"", ""*\\iexplore.exe"",""*\\microsoftedgecp.exe"") | stats count min(_time) as firstTime max(_time) as lastTime by EventID Guid NewThreadId ProcessID SecurityID SourceImage SourceProcessGuid SourceProcessId StartAddress StartFunction StartModule TargetImage TargetProcessGuid TargetProcessId UserID dest parent_process_exec parent_process_guid parent_process_id parent_process_name parent_process_path process_exec process_guid process_id process_name process_path signature signature_id user_id vendor_product | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `windows_process_injection_of_wermgr_to_known_browser_filter`",62.0,62,
36,15,"| tstats earliest(_time) as firstTimeSeen, latest(_time) as lastTimeSeen from datamodel=Change where All_Changes.action=created  by All_Changes.Instance_Changes.image_id | `drop_dm_object_name(""All_Changes"")` | `drop_dm_object_name(""Instance_Changes"")` | where image_id != ""unknown"" | eventstats min(firstTimeSeen) as globalFirstTime | eval enough_data = if(globalFirstTime <= relative_time(now(), ""-7d@d""), 1, 0) | outputlookup previously_seen_cloud_compute_images",15.0,15,
37,10,"`wineventlog_security` EventCode=4663 NOT (ProcessName IN (""*\\firefox.exe"", ""*\\explorer.exe"", ""*sql*"")) ObjectName=""*\\AppData\\Roaming\\Mozilla\\Firefox\\Profiles*"" | stats count min(_time) as firstTime max(_time) as lastTime by ObjectName ObjectType ProcessName AccessMask EventCode dest | `security_content_ctime(firstTime)` | `security_content_ctime(lastTime)` | `non_firefox_process_access_firefox_profile_dir_filter`",10.0,10,
38,5,"| tstats `security_content_summariesonly` count, min(_time) as firstTime, max(_time) as lastTime from datamodel=Network_Traffic where (All_Traffic.app=rdp OR All_Traffic.dest_port=3389) AND All_Traffic.action=allowed by All_Traffic.src, All_Traffic.dest, All_Traffic.dest_port All_Traffic.user All_Traffic.vendor_product  | `drop_dm_object_name(""All_Traffic"")`  | eval duration=lastTime-firstTime  | where count > 10 AND duration < 3600  | `security_content_ctime(firstTime)`  | `security_content_ctime(lastTime)`  | `remote_desktop_network_bruteforce_filter`",5.0,5,
